ds_x,Quarter,year,5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
2024-11-01,Q4 2024,2024,2.09236426605439,108.5384522422792,141.58643932494786,137.46404857735783,166886.7581865866,79161.14269499945,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-12-01,Q4 2024,2024,2.081765857039182,108.64554398282701,142.32164761845004,137.89102278577218,166886.7581865866,79161.14269499945,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2025-01-01,Q1 2025,2025,2.1260420759481145,108.81863938494585,141.20049932317204,137.93230200280834,167198.43346657572,80092.14412613267,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-02-01,Q1 2025,2025,2.1332057179431336,108.94391299895852,141.434343361962,138.47661018678207,167198.43346657572,80092.14412613267,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-03-01,Q1 2025,2025,2.0477645117617063,109.02441771758924,142.72895694959297,139.28972133082462,167198.43346657572,80092.14412613267,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-04-01,Q2 2025,2025,2.009810277549494,109.18581673104583,142.73700607825046,139.46780472411092,168021.58219390202,80948.28844626003,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-05-01,Q2 2025,2025,2.1020912701709653,109.22129013614679,143.42801463008362,139.73227281396967,168021.58219390202,80948.28844626003,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-06-01,Q2 2025,2025,2.128850765173528,109.23186344501795,143.37201036698536,140.6514114484346,168021.58219390202,80948.28844626003,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-07-01,Q3 2025,2025,2.104690866400695,109.4951129164139,144.20734341788332,141.13349840303138,170623.71469138117,81587.53608630373,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-08-01,Q3 2025,2025,2.1774435979222413,109.64356747583143,144.23550487955242,141.5041547283681,170623.71469138117,81587.53608630373,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
